,value,description
78,25900,"Undefined Confidence for Wales (geography), Permanent (Permanent/non-permanent), Employee (Employee/Self-employed), Count (measure) for Jul 2020-Jun 2021 from annual population survey - regional - occupation by sex by employment type"
79,4000,"Undefined Confidence for Wales (geography), Permanent (Permanent/non-permanent), Employee (Employee/Self-employed), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2020-Jun 2021 from annual population survey - regional - occupation by sex by employment type"
80,18300,"Undefined Confidence for Wales (geography), Permanent (Permanent/non-permanent), Employee (Employee/Self-employed), Males (Sex), Count (measure) for Jul 2020-Jun 2021 from annual population survey - regional - occupation by sex by employment type"
81,3600,"Undefined Confidence for Wales (geography), Permanent (Permanent/non-permanent), Employee (Employee/Self-employed), Males (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2020-Jun 2021 from annual population survey - regional - occupation by sex by employment type"
82,18400,"Undefined Confidence for Wales (geography), Permanent (Permanent/non-permanent), Employee (Employee/Self-employed), Females (Sex), Count (measure) for Jul 2020-Jun 2021 from annual population survey - regional - occupation by sex by employment type"
83,1600,"Undefined Confidence for Wales (geography), Permanent (Permanent/non-permanent), Employee (Employee/Self-employed), Females (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2020-Jun 2021 from annual population survey - regional - occupation by sex by employment type"
84,22700,"Undefined Confidence for Wales (geography), Permanent (Permanent/non-permanent), Full-time (Full/Part-time), Count (measure) for Jul 2020-Jun 2021 from annual population survey - regional - occupation by sex by employment type"
85,3800,"Undefined Confidence for Wales (geography), Permanent (Permanent/non-permanent), Full-time (Full/Part-time), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2020-Jun 2021 from annual population survey - regional - occupation by sex by employment type"
86,17400,"Undefined Confidence for Wales (geography), Permanent (Permanent/non-permanent), Full-time (Full/Part-time), Males (Sex), Count (measure) for Jul 2020-Jun 2021 from annual population survey - regional - occupation by sex by employment type"
87,3500,"Undefined Confidence for Wales (geography), Permanent (Permanent/non-permanent), Full-time (Full/Part-time), Males (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2020-Jun 2021 from annual population survey - regional - occupation by sex by employment type"
88,14600,"Undefined Confidence for Wales (geography), Permanent (Permanent/non-permanent), Full-time (Full/Part-time), Females (Sex), Count (measure) for Jul 2020-Jun 2021 from annual population survey - regional - occupation by sex by employment type"
89,1500,"Undefined Confidence for Wales (geography), Permanent (Permanent/non-permanent), Full-time (Full/Part-time), Females (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2020-Jun 2021 from annual population survey - regional - occupation by sex by employment type"
90,22700,"Undefined Confidence for Wales (geography), Permanent (Permanent/non-permanent), Full-time (Full/Part-time), Employee (Employee/Self-employed), Count (measure) for Jul 2020-Jun 2021 from annual population survey - regional - occupation by sex by employment type"
91,3800,"Undefined Confidence for Wales (geography), Permanent (Permanent/non-permanent), Full-time (Full/Part-time), Employee (Employee/Self-employed), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2020-Jun 2021 from annual population survey - regional - occupation by sex by employment type"
92,17400,"Undefined Confidence for Wales (geography), Permanent (Permanent/non-permanent), Full-time (Full/Part-time), Employee (Employee/Self-employed), Males (Sex), Count (measure) for Jul 2020-Jun 2021 from annual population survey - regional - occupation by sex by employment type"
93,3500,"Undefined Confidence for Wales (geography), Permanent (Permanent/non-permanent), Full-time (Full/Part-time), Employee (Employee/Self-employed), Males (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2020-Jun 2021 from annual population survey - regional - occupation by sex by employment type"
94,14600,"Undefined Confidence for Wales (geography), Permanent (Permanent/non-permanent), Full-time (Full/Part-time), Employee (Employee/Self-employed), Females (Sex), Count (measure) for Jul 2020-Jun 2021 from annual population survey - regional - occupation by sex by employment type"
95,1500,"Undefined Confidence for Wales (geography), Permanent (Permanent/non-permanent), Full-time (Full/Part-time), Employee (Employee/Self-employed), Females (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2020-Jun 2021 from annual population survey - regional - occupation by sex by employment type"
